ID,pairID,sizemm,size,sex,IntruderID,int.sex,pairtype,order,Int.SL,attmate.C,hitdivider.C,bite.C,lateralroll.C,aggression.C,closedivider.S,outnest.S
ML1F,ML1,42,small,Female,M6,male,maleLarger,1,60,0,0,0,0,0,1.269,120.96
ML1F,ML1,42,small,Female,F6,female,maleLarger,2,59,0,0,0,1,0,16.689,242.926
ML1F,ML1,42,small,Female,F3,female,maleLarger,3,39,0,0,0,0,0,0,1.268
ML1M,ML1,81,large,Male,M6,male,maleLarger,1,60,0,71,25,4,96,573.098,593.191
ML1M,ML1,81,large,Male,F6,female,maleLarger,2,59,0,104,39,18,143,535.581,589.319
ML1M,ML1,81,large,Male,F3,female,maleLarger,3,39,0,50,96,16,146,371.038,515.352
FL1F,FL1,81,large,Female,F6,female,femaleLarger,1,59,0,13,0,11,13,219.093,226.234
FL1F,FL1,81,large,Female,M1,male,femaleLarger,2,38,3,28,18,0,46,172.909,198.065
FL1F,FL1,81,large,Female,F2,female,femaleLarger,3,35,2,2,2,1,4,46.996,54.539
FL1F,FL1,81,large,Female,M6,male,femaleLarger,4,60,0,27,6,0,33,132.91,166.689
FL1M,FL1,50,small,Male,F6,female,femaleLarger,1,59,0,0,0,0,0,0,76.969
FL1M,FL1,50,small,Male,M1,male,femaleLarger,2,38,0,0,0,0,0,0,506.206
FL1M,FL1,50,small,Male,F2,female,femaleLarger,3,35,0,0,0,0,0,0,204.006
FL1M,FL1,50,small,Male,M6,male,femaleLarger,4,60,0,0,0,0,0,0,535.18
FL2M,FL2,50,small,Male,M7,male,femaleLarger,1,63,0,20,0,0,20,224.646,405.806
FL2M,FL2,50,small,Male,F6,female,femaleLarger,2,59,0,16,0,2,16,261.524,317.288
FL2M,FL2,50,small,Male,F3,female,femaleLarger,3,39,0,55,6,0,61,247.933,308.812
FL2M,FL2,50,small,Male,M2,male,femaleLarger,4,37,0,52,9,1,61,344.86,457.545
FL2F,FL2,83,large,Female,M7,male,femaleLarger,1,63,0,42,15,2,57,578.904,580.708
FL2F,FL2,83,large,Female,F6,female,femaleLarger,2,59,1,49,5,2,54,427.703,483.111
FL2F,FL2,83,large,Female,F3,female,femaleLarger,3,39,2,57,21,1,78,388.905,413.149
FL2F,FL2,83,large,Female,M2,male,femaleLarger,4,37,1,83,41,1,124,431.107,455.407
FL3M,FL3,50,small,Male,F1,female,femaleLarger,1,39,0,17,1,0,18,290.991,519.52
FL3M,FL3,50,small,Male,M4,male,femaleLarger,2,53,0,52,0,0,52,446.179,577.211
FL3M,FL3,50,small,Male,F5,female,femaleLarger,3,50,0,21,0,0,21,264.367,468.267
FL3M,FL3,50,small,Male,M3,male,femaleLarger,4,34,0,2,0,0,2,58.525,283.917
FL3F,FL3,76,large,Female,F1,female,femaleLarger,1,39,0,3,1,0,4,164.898,478.012
FL3F,FL3,76,large,Female,M4,male,femaleLarger,2,53,1,43,3,1,46,552.52,590.157
FL3F,FL3,76,large,Female,F5,female,femaleLarger,3,50,0,20,9,1,29,256.924,351.232
FL3F,FL3,76,large,Female,M3,male,femaleLarger,4,34,2,19,0,0,19,404.238,494.395
FL4M,FL4,53,small,Male,M5,male,femaleLarger,1,59,0,0,0,0,0,0,14.152
FL4M,FL4,53,small,Male,M2,male,femaleLarger,2,37,0,0,0,0,0,0,0
FL4M,FL4,53,small,Male,F3,female,femaleLarger,3,39,0,11,0,0,11,104.738,211.816
FL4M,FL4,53,small,Male,F4,female,femaleLarger,4,54,0,6,0,0,6,86.782,130.371
FL4F,FL4,70,large,Female,M5,male,femaleLarger,1,59,0,9,0,0,9,74.699,88.051
FL4F,FL4,70,large,Female,M2,male,femaleLarger,2,37,0,4,0,1,4,92.625,125.59
FL4F,FL4,70,large,Female,F3,female,femaleLarger,3,39,0,28,2,3,30,207.435,277.489
FL4F,FL4,70,large,Female,F4,female,femaleLarger,4,54,1,1,0,2,1,26.675,44.461
FL5M,FL5,51,small,Male,M1,male,femaleLarger,1,38,0,0,0,0,0,0,4.073
FL5M,FL5,51,small,Male,F4,female,femaleLarger,2,54,0,42,2,0,44,384.483,424.893
FL5M,FL5,51,small,Male,F2,female,femaleLarger,3,35,0,24,0,0,24,263.083,340.52
FL5M,FL5,51,small,Male,M5,male,femaleLarger,4,59,0,22,3,0,25,186.855,377.512
FL5F,FL5,67,large,Female,M1,male,femaleLarger,1,38,0,5,0,0,5,54.739,155.539
FL5F,FL5,67,large,Female,F4,female,femaleLarger,2,54,0,37,19,0,56,508.885,593.027
FL5F,FL5,67,large,Female,F2,female,femaleLarger,3,35,0,8,0,1,8,145.928,223.564
FL5F,FL5,67,large,Female,M5,male,femaleLarger,4,59,0,40,20,1,60,325.426,385.322
ML2F,ML2,45,small,Female,M2,male,maleLarger,1,37,0,20,0,1,20,181.195,358.839
ML2F,ML2,45,small,Female,F3,female,maleLarger,2,39,0,5,0,0,5,78.106,156.435
ML2F,ML2,45,small,Female,M4,male,maleLarger,3,53,0,44,0,2,44,559.253,592.229
ML2F,ML2,45,small,Female,F5,female,maleLarger,4,50,0,30,0,2,30,415.917,503.697
ML2M,ML2,68,large,Male,M2,male,maleLarger,1,37,0,7,0,0,7,115.583,207.339
ML2M,ML2,68,large,Male,F3,female,maleLarger,2,39,0,13,1,1,14,140.91,294.621
ML2M,ML2,68,large,Male,M4,male,maleLarger,3,53,0,59,23,6,82,553.192,585.566
ML2M,ML2,68,large,Male,F5,female,maleLarger,4,50,1,34,4,1,38,446.929,538.25
ML3M,ML3,66,large,Male,M3,male,maleLarger,1,34,0,1,0,0,1,29.563,70.587
ML3M,ML3,66,large,Male,F5,female,maleLarger,2,50,1,0,0,0,0,5.805,21.489
ML3M,ML3,66,large,Male,F1,female,maleLarger,3,39,2,3,0,1,3,34.78,47.89
ML3M,ML3,66,large,Male,M4,male,maleLarger,4,53,1,17,0,3,17,236.638,268.436
ML3F,ML3,49,small,Female,M3,male,maleLarger,1,34,0,0,0,0,0,0,0
ML3F,ML3,49,small,Female,F5,female,maleLarger,2,50,0,2,0,0,2,26.861,67.167
ML3F,ML3,49,small,Female,F1,female,maleLarger,3,39,0,11,1,0,12,341.549,399.106
ML3F,ML3,49,small,Female,M4,male,maleLarger,4,53,0,40,1,2,41,469.137,570.538
